Sigma,Alpha,Seed,Cost,Peak
0.5,0.15,7,31.434475088660037,9.747097834404705
0.5,0.15,15,19.674654168782954,8.149640295825222
0.5,0.15,10,26.985001802221998,7.75003791996045
0.5,0.15,13,26.34205774105929,7.675285757421791
0.5,0.15,16,27.406096543358206,8.13944345321671
0.5,0.15,17,24.533112236418358,7.880962636899908
0.5,0.15,19,23.246905577338396,7.705554242753457
0.5,0.15,18,26.704328856849013,8.25636243442986
0.75,0.15,2,24.739694218876224,7.115434903109238
0.75,0.15,1,29.77360940183822,7.963593005793529
0.75,0.15,3,23.72545770184694,7.199334213784487
0.75,0.15,5,19.92481700394332,6.681493743062672
0.75,0.15,14,15.760690336252566,9.525441792475961
0.75,0.15,4,21.50260759445327,7.114492809788412
0.75,0.15,7,28.692498846073597,7.393395475558081
0.75,0.15,6,28.50320080985953,7.99792496355767
0.75,0.15,8,20.319325561452327,6.772306570831531
0.75,0.15,9,20.401532386507036,7.490926202831378
0.75,0.15,11,19.00219070446948,6.596637648040447
0.75,0.15,10,24.330210424772453,6.742427197566038
0.75,0.15,12,23.827566918708087,8.72572333750066
0.0,0.3,1,30.454350242356973,12.900700316622654
0.0,0.3,2,26.60554577295324,12.148509802076077
0.0,0.3,3,27.22944978313149,11.453407554892621
0.0,0.3,4,24.170499930273692,10.514922625157244
0.75,0.15,13,23.155816394182068,6.512928860432119
0.0,0.3,5,23.449217399518876,10.0
0.0,0.3,6,30.71024884285704,12.653367622366632
0.75,0.15,15,18.159772218408197,7.224460622269293
0.0,0.3,9,24.35849781543727,10.419527181072299
0.0,0.3,7,30.748706701374687,12.285819690404704
0.0,0.3,8,22.6520443457156,11.27153681360568
0.0,0.3,10,26.662600640272153,10.324876605991447
0.75,0.15,16,24.47920072360099,7.400096345074404
0.75,0.15,17,21.920104496596963,7.251666390520528
0.0,0.3,11,21.347203595599932,10.428605026997719
0.75,0.15,18,23.739314409443164,6.751909167206119
0.75,0.15,19,20.91894733929785,6.558331585509171
0.0,0.3,12,25.299738162112018,12.386279205675574
0.0,0.3,13,26.081562345033845,10.0
0.0,0.3,14,17.926884487669557,11.12130187200147
0.0,0.3,15,20.48785881013895,10.0
0.0,0.3,16,25.49999348351745,10.0
0.0,0.3,17,25.77181364030558,11.926865405471164
0.0,0.3,18,24.873453384462863,10.885450680550761
0.0,0.3,19,22.33988940091806,10.394449118772702
0.1,0.3,1,30.719691770772084,12.586059765351866
0.1,0.3,2,26.650489948328453,11.833869250805288
0.1,0.3,3,26.975893888412255,9.780003808648354
0.1,0.3,4,24.29100866136952,10.200282073886502
0.1,0.3,5,23.351784889413093,9.760358469495978
0.1,0.3,6,30.818575224432543,12.844585722366633
0.1,0.3,9,24.610082563860903,9.889729427290202
0.1,0.3,11,21.371213521636967,10.113964475726878
0.1,0.3,8,22.699511124091327,10.956896261659246
0.1,0.3,10,26.716698061926227,9.973508421747246
0.1,0.3,12,25.11019311059178,12.171405805675574
0.1,0.3,7,30.27211764364506,11.014686164363244
0.1,0.3,13,26.20178171951099,9.742097351279241
0.1,0.3,14,17.82189742233344,10.853988464489431
0.1,0.3,15,20.357965882976856,9.788330921201098
0.1,0.3,16,25.61400171489681,9.737799599999999
0.1,0.3,17,25.598801978130957,11.419473857263664
0.1,0.3,18,24.829462742359716,10.045071815829687
0.1,0.3,19,22.369318990827516,10.07980864677634
0.25,0.3,1,31.48308939789123,12.056647880183865
0.25,0.3,2,26.369045459437142,11.361909173899075
0.25,0.3,3,27.28663628388064,10.655244445842415
0.25,0.3,5,23.241788431318714,9.428179531310171
0.25,0.3,4,24.46015750922335,9.728321996980258
0.25,0.3,6,31.40323803650859,12.639827022366633
0.25,0.3,7,31.01848172622669,12.616510612472942
0.25,0.3,9,24.699581731091275,9.576831022138506
0.25,0.3,8,22.753764106926585,10.484936190637272
0.25,0.3,10,26.893920613011986,10.183990818541448
0.25,0.3,11,21.39222932580987,9.642004398820719
0.25,0.3,12,25.244825995392556,11.849096536900575
0.25,0.3,13,26.790188017472364,9.355244115904505
0.25,0.3,14,17.60232962603083,10.453019108746055
0.25,0.3,15,20.40433844504658,9.470827908462342
0.25,0.3,16,25.888978496617128,9.359222049038355
0.25,0.3,17,25.439615983893113,9.46391922489924
0.25,0.3,18,25.2260123905993,9.644102460920866
0.25,0.3,19,22.68868716218007,9.419543854492536
0.5,0.3,5,23.035422525624007,8.856358626449456
0.5,0.3,3,27.75535260120822,8.900019882279807
0.5,0.3,4,24.88459607956243,9.026686584214278
0.5,0.3,6,32.23344489242648,12.143975402366632
0.5,0.3,2,27.191745654449715,10.206471175826078
0.5,0.3,1,32.78962882640948,11.054339997767293
0.5,0.3,9,24.241219877446795,9.153661721493904
0.5,0.3,7,31.939378991499858,9.842738127375494
0.5,0.3,8,23.186007727215937,9.698335059396596
0.5,0.3,11,21.977721429269927,8.855403270643478
0.5,0.3,12,25.726081066018946,11.311913404225574
0.5,0.3,13,27.64020214315434,8.823772426055974
0.5,0.3,10,27.458194327173814,8.861594517554154
0.5,0.3,14,17.053791980207663,9.752398751894525
0.5,0.3,15,20.520199776711266,9.063779940819085
0.5,0.3,17,25.784802421790754,10.596349470237845
0.5,0.3,16,26.54416130990588,8.718443609306718
0.5,0.3,18,26.277339465924953,8.766540369781751
0.5,0.3,19,23.085952016989275,8.8390872662271
0.75,0.3,4,25.08481775647559,8.540030061926359
0.75,0.3,5,23.049365547440427,8.284538157759627
0.75,0.3,3,27.616148059776126,9.648193603178697
0.75,0.3,11,22.41814686603118,8.27801270463367
0.75,0.3,1,33.818145590680814,10.267739368002102
0.75,0.3,2,28.27780848314536,8.598979439933858
0.75,0.3,6,33.17548316921102,11.428066195059817
0.75,0.3,9,23.995160068343203,8.730492743632409
0.75,0.3,12,26.3441698304565,10.763176292080825
0.75,0.3,14,16.704784323330607,8.702429668502052
0.75,0.3,8,23.310196313583482,8.739778413143185
0.75,0.3,7,32.94071993493719,10.319317690404706
0.75,0.3,13,27.648670957317076,8.235658863383394
0.75,0.3,10,27.66853270582874,8.292391993418223
0.75,0.3,15,20.15642474432018,8.59567008976009
0.0,0.5,1,30.454350242356973,12.900700316622654
0.75,0.3,16,27.43313935793395,8.168621845107637
0.0,0.5,2,26.60554577295324,12.148509802076077
0.0,0.5,3,27.22944978313149,11.453407554892621
0.0,0.5,5,23.449217399518876,10.0
0.75,0.3,17,25.81465288296368,8.960217902648418
0.0,0.5,4,24.170499930273692,10.514922625157244
0.75,0.3,19,23.732204948088174,8.258631120719636
0.0,0.5,6,30.71024884285704,12.653367622366632
0.0,0.5,9,24.35849781543727,10.419527181072299
0.0,0.5,8,22.6520443457156,11.27153681360568
0.0,0.5,7,30.748706701374687,12.285819690404704
0.0,0.5,10,26.662600640272153,10.324876605991447
0.75,0.3,18,26.63445708465573,8.149810789885864
0.0,0.5,12,25.299738162112018,12.386279205675574
0.0,0.5,11,21.347203595599932,10.428605026997719
0.0,0.5,13,26.081562345033845,10.0
0.0,0.5,14,17.926884487669557,11.12130187200147
0.0,0.5,15,20.48785881013895,10.0
0.0,0.5,16,25.49999348351745,10.0
0.0,0.5,17,25.77181364030558,11.926865405471164
0.0,0.5,18,24.873453384462863,10.885450680550761
0.0,0.5,19,22.33988940091806,10.394449118772702
0.1,0.5,2,26.60554577295324,12.148509802076077
0.1,0.5,1,30.454350242356973,12.900700316622654
0.1,0.5,3,27.22944978313149,11.453407554892621
0.1,0.5,5,23.449217399518876,10.0
0.1,0.5,4,24.170499930273692,10.514922625157244
0.1,0.5,6,30.71024884285704,12.653367622366632
0.1,0.5,7,30.748706701374687,12.285819690404704
0.1,0.5,9,24.35849781543727,10.419527181072299
0.1,0.5,8,22.6520443457156,11.27153681360568
0.1,0.5,10,26.662600640272153,10.324876605991447
0.1,0.5,11,21.347203595599932,10.428605026997719
0.1,0.5,12,25.299738162112018,12.386279205675574
0.1,0.5,13,26.081562345033845,10.0
0.1,0.5,14,17.926884487669557,11.12130187200147
0.1,0.5,15,20.48785881013895,10.0
0.1,0.5,16,25.49999348351745,10.0
0.1,0.5,17,25.77181364030558,11.926865405471164
0.1,0.5,18,24.873453384462863,10.885450680550761
0.1,0.5,19,22.33988940091806,10.394449118772702
0.25,0.5,2,26.60554577295324,12.148509802076077
0.25,0.5,1,30.454350242356973,12.900700316622654
0.25,0.5,3,27.22944978313149,11.453407554892621
0.25,0.5,4,24.170499930273692,10.514922625157244
0.25,0.5,5,23.449217399518876,10.0
0.25,0.5,6,30.71024884285704,12.653367622366632
0.25,0.5,9,24.35849781543727,10.419527181072299
