Sigma,Alpha,Seed,Cost_Saving,Peak_Reduction,SLA
0.25,0.05,11,96.3949251638232,94.51546620840372,100.0
0.25,0.05,10,95.3826579278936,94.70686106321811,100.0
0.25,0.05,15,97.35923316852268,91.12044251690095,100.0
0.25,0.05,12,94.54458701780865,81.8674512153117,100.0
0.25,0.05,13,87.78442888366493,92.55738179024577,100.0
0.5,0.05,2,88.46243986965453,85.47200776730527,100.0
0.25,0.05,17,97.51530702903896,93.07430636175219,100.0
0.25,0.05,18,87.07909186123469,88.47574647203028,100.0
0.25,0.05,16,90.462690160264,87.20692505655386,100.0
0.25,0.05,19,88.29196575272516,92.21839753962615,100.0
0.5,0.05,3,94.63060777443974,96.56399404627888,100.0
0.5,0.05,4,86.67835397359973,84.51804450699349,100.0
0.5,0.05,1,96.91887536450541,97.13664530328091,100.0
0.5,0.05,7,88.940538191163,94.62782367555192,100.0
0.5,0.05,5,88.90158833177281,87.91943091195051,100.0
0.5,0.05,6,87.6571587691376,87.89901001182402,100.0
0.5,0.05,8,98.60762281604799,95.82327847585171,100.0
0.5,0.05,9,97.13265078043366,96.44677270062176,100.0
0.5,0.05,14,96.42865483398198,95.75400029046199,100.0
0.5,0.05,11,96.74863305177146,96.45781347764496,100.0
0.5,0.05,10,95.93114588417836,96.70597614398588,100.0
0.5,0.05,15,97.3201366085203,94.47407775810998,100.0
0.5,0.05,12,96.10010359029674,94.68127720183487,100.0
0.5,0.05,13,86.54091498225715,90.75480223951169,100.0
0.5,0.05,16,89.59285241231952,82.44490568688494,100.0
0.75,0.05,3,96.2114840680192,97.67370606559595,100.0
0.5,0.05,17,96.42141987049443,95.12848226643786,100.0
0.5,0.05,19,89.785185208232,91.14500323204943,100.0
0.75,0.05,2,88.7416381734519,87.39646998859476,100.0
0.5,0.05,18,86.44991590245631,84.61159064091768,100.0
0.75,0.05,4,89.20716906048612,88.99289234368,100.0
0.75,0.05,5,89.25530631500244,84.87230720492501,100.0
0.75,0.05,8,96.81992074230249,98.35809514566562,100.0
0.75,0.05,11,97.50814269302707,98.60753637136462,100.0
0.75,0.05,9,95.96296140919874,98.60319614807607,100.0
0.75,0.05,12,94.62749056891269,74.90318312995787,100.0
0.75,0.05,13,89.22276849685831,89.85427269609131,100.0
0.75,0.05,14,95.5231999895413,96.87850337361583,100.0
0.75,0.05,15,96.07219338899148,97.73242246367371,100.0
0.75,0.05,19,91.36769523598053,86.44089842607636,100.0
0.75,0.05,17,96.28596233358296,97.905117274884,100.0
0.75,0.05,10,96.56368643998067,98.70509122475364,100.0
0.0,0.15,2,87.83169864492874,85.50538195720586,100.0
0.75,0.05,16,90.25709574975583,82.09036207861725,100.0
0.0,0.15,3,93.59998538768527,92.39342847880143,100.0
0.75,0.05,18,86.77040807800596,79.5941358808114,100.0
0.0,0.15,1,98.09462379301405,93.83384157744433,100.0
0.0,0.15,4,88.43312525386105,91.57452607996622,100.0
0.0,0.15,5,86.3066562535387,89.27136863766522,100.0
0.0,0.15,6,87.17936892521223,88.13580099292719,100.0
0.0,0.15,9,97.36037642475362,93.82199690590261,100.0
0.0,0.15,7,88.82475906869192,95.47349924902205,100.0
0.0,0.15,8,98.95335358769859,90.87602909029778,100.0
0.0,0.15,12,94.49554717631806,74.04232013377732,100.0
0.0,0.15,14,98.04243685867235,91.88261441075058,100.0
0.0,0.15,10,95.15849584870627,92.70774603106538,100.0
0.0,0.15,15,98.15574047795555,90.28935203059932,100.0
0.0,0.15,11,95.94743366713645,92.42028662429202,100.0
0.0,0.15,13,88.56420767957874,93.75372560700959,100.0
0.0,0.15,17,98.18622959425912,93.14628803792527,100.0
0.0,0.15,18,87.50375358234736,85.2829762097054,100.0
0.0,0.15,16,90.24491007296251,87.89213307599053,100.0
0.75,0.05,7,90.10250686971878,87.57206005825168,100.0
0.0,0.15,19,88.47654072654416,91.95407862825921,100.0
0.1,0.15,2,88.16466402879588,84.49023619085466,100.0
0.1,0.15,3,93.66075247855422,92.91900859489677,100.0
0.1,0.15,1,97.94288099994876,94.0991400276033,100.0
0.1,0.15,4,88.36666224020364,92.15668869405707,100.0
0.1,0.15,5,86.96338219873255,90.01266914358247,100.0
0.1,0.15,6,87.41964993972672,87.81307537514023,100.0
0.1,0.15,9,97.25333812089771,93.94145425425035,100.0
0.1,0.15,7,88.36781594357114,95.7862602325446,100.0
0.1,0.15,8,98.98488999421177,91.39252678477632,100.0
0.75,0.05,1,96.69622808012754,94.28586341161423,100.0
0.1,0.15,10,95.22239775242618,93.21160820825104,100.0
0.1,0.15,11,96.10787728232556,94.02758494256426,100.0
0.1,0.15,12,94.29444856372899,74.84957382617795,100.0
0.1,0.15,14,97.85276345597698,91.24975688218795,100.0
0.75,0.05,6,87.20843755142592,67.85161933617519,100.0
0.1,0.15,15,98.22594728063592,90.86977216645829,100.0
