Sigma,Alpha,Seed,Cost_Saving,Peak_Reduction,SLA
0.25,0.3,4,-27.743156335101798,60.90664595357966,100.0
0.1,0.3,0,-29.515880688729624,59.22928207870156,100.0
0.25,0.3,0,-30.41793511356371,66.20365980314584,100.0
0.0,0.3,2,-22.769622805821026,60.419777271154786,100.0
0.0,0.3,1,-9.549346817586866,64.23792606064741,100.0
0.5,0.3,4,-33.297305682923565,60.13571537236562,100.0
0.25,0.3,3,-3.1449301513086456,71.94563813679554,100.0
0.75,0.3,4,-43.98539544587873,60.20033761852228,100.0
0.1,0.3,1,-10.160765597789618,61.95282138967123,100.0
0.25,0.3,2,-25.30324695717653,65.01543162416674,100.0
0.1,0.3,2,-19.429147798530106,60.304821611821524,100.0
0.5,0.3,3,-7.661078104425344,74.21560063618212,100.0
0.5,0.3,0,-31.384566585224732,60.206130235870916,100.0
0.25,0.3,1,-13.912387964906861,59.152441484104955,100.0
0.75,0.3,0,-39.750359680399406,61.524836051939104,100.0
0.5,0.3,2,-22.682742451657383,50.93514066737874,100.0
0.75,0.3,3,-20.54591536190871,59.79813499855984,100.0
0.5,0.3,1,-13.799107764331708,55.697918706382076,100.0
0.75,0.3,1,-14.982971112899325,51.465309793771006,100.0
0.75,0.3,2,-29.210535208292,47.463322704514816,100.0
0.0,0.5,4,-23.696647194612634,56.81860258306977,100.0
0.0,0.5,3,2.2060350429560347,67.10748133556987,100.0
0.0,0.5,0,-30.710814616281194,57.41459520335695,100.0
0.1,0.5,4,-27.073952525342293,54.825080919539616,100.0
0.1,0.5,0,-27.776771367041125,62.69496193625124,100.0
0.1,0.5,3,1.8125260965129821,68.4303321150859,100.0
0.0,0.5,2,-22.259450885862982,60.419777271154786,100.0
0.0,0.5,1,-10.387213752697647,64.23792606064741,100.0
0.1,0.5,1,-11.747967768655611,64.23792606064741,100.0
0.25,0.5,0,-28.86029375549764,55.203036988300646,100.0
0.25,0.5,4,-24.748970462541838,55.141569236210195,100.0
0.25,0.5,3,1.07924050860132,63.370271190713346,100.0
0.1,0.5,2,-19.870417430895625,60.419777271154786,100.0
0.25,0.5,2,-28.81320228053918,60.419777271154786,100.0
