Sigma,Alpha,Seed,Cost,Peak
0.1,0.05,11,52.94302591160418,16.052602135230703
0.1,0.05,13,50.794859064422845,14.775949748578308
0.1,0.05,14,56.36137421934174,13.912827731700556
0.1,0.05,19,52.667098897785365,17.253053860570816
0.25,0.05,4,50.74713044539015,17.47433864232609
0.1,0.05,17,52.08045901573934,14.585008157197043
0.25,0.05,2,55.14867182939888,13.33007422833195
0.25,0.05,0,45.67753889872127,15.341514687513616
0.25,0.05,6,40.92325713139043,13.661005628352246
0.1,0.05,16,54.00784664142469,19.49445421727926
0.25,0.05,3,57.59572401625809,21.39820036222924
0.25,0.05,1,48.182699520968896,12.936584747191176
0.1,0.05,18,59.28909804427984,16.720387084254547
0.25,0.05,5,55.53102898522447,15.440356002772267
0.1,0.05,15,63.08255704718833,14.76306064495449
0.25,0.05,7,50.13110906331985,11.94882037086606
0.25,0.05,8,51.82129207279734,11.914489899215816
0.25,0.05,9,46.99277665801853,13.214579227999895
0.25,0.05,13,50.721086102652244,12.34881729014978
0.25,0.05,10,53.39727474921696,14.484575526405743
0.25,0.05,15,51.48774373128141,12.750382963519142
0.25,0.05,14,48.31177387060736,13.52093236610403
0.25,0.05,11,50.41511687681299,12.725414936037343
0.25,0.05,18,49.1459084704672,13.64061038228405
0.25,0.05,16,54.2268690177838,11.464165261615738
0.25,0.05,19,52.69842179705449,13.730209615650663
0.5,0.05,5,46.79432678089122,12.445708508906964
0.5,0.05,3,59.48381952004261,16.239378584905324
0.25,0.05,17,42.27857296735695,13.595966835812424
0.25,0.05,12,59.62449183360574,18.46149957761932
0.5,0.05,4,52.51849456563633,13.122714765638214
0.5,0.05,2,63.902024901596604,14.990918494582033
0.5,0.05,1,55.3378109288597,15.640968256817162
0.5,0.05,12,41.4128359714042,10.526730442455609
0.5,0.05,0,57.805640883714204,15.008961513246845
0.5,0.05,6,57.879351499684084,13.248198497697649
0.5,0.05,7,54.84956773864499,13.350444105027444
0.5,0.05,9,45.60872817699216,12.61018513058036
0.5,0.05,8,44.24152031945614,12.040701635409786
0.5,0.05,10,58.721081935568414,12.998000067265915
0.5,0.05,13,51.73685153515054,12.317514995549065
0.5,0.05,19,49.567129232657635,16.465861976076816
0.5,0.05,18,51.41582324961026,16.45669790848436
