Sigma,Alpha,Seed,Cost_Saving,Peak_Reduction,SLA,Smart_Breach_Count,Smart_Breach_Energy,Open_Breach_Count,Open_Breach_Energy,Smart_Peak,Open_Peak,Smart_Cost,Open_Cost,Smart_Energy,Open_Energy
0.0,0.01,16,36.6241617663785,54.62874317033497,96.01928760425646,0,0.0,10,18.92450017883948,4.9688366980000005,10.95150772801875,6.621648558017938,10.448222449711267,72.04158868783041,37.42272405229936
0.1,0.01,8,47.92034298814652,61.09662736196706,97.32552860471773,0,0.0,6,12.62598564897865,4.625504330131018,11.889725791046214,5.070620571355144,9.736278735862367,55.59417601131815,32.13184171403433
0.0,0.01,12,46.382701602463996,49.474922890772895,98.36675035652995,2,0.25427296454898274,8,11.699407851356531,5.472040870895396,10.830346402175145,5.07666845726138,9.468340645627679,63.13816428064982,28.672479462019957
0.1,0.01,9,36.1064694355842,60.452338194961044,96.80482709501132,5,1.2573370376406525,6,20.277453636593368,6.592762241743635,16.670422322928886,4.020531855048231,6.292549213562139,60.518678895268934,27.85621088793636
0.1,0.01,14,94.84527006387,-9.726076986152709,100.0,1,0.2565975279218202,1,0.012253790199479475,5.5131950558436404,5.024507580398959,0.1614850431211048,3.132754676229311,32.69511601793634,7.429660091921379
0.1,0.01,11,50.56562900027656,71.08877722851913,98.15361966824392,1,0.0698900834081666,6,21.218829558107984,5.139780166816333,17.77780278420603,3.3477541037427176,6.772118337990881,52.61996499592232,24.35119029125366
0.0,0.01,17,26.086721272288482,61.76777409459331,95.59288425131841,0,0.0,9,25.87487752158855,4.9356715,12.909715254904924,6.789354068989546,9.185567445872328,65.2410106142816,43.57338377332803
0.1,0.01,15,66.46368548845072,56.601942473000946,98.68552097116995,0,0.0,5,11.468696502879357,4.863591276248263,11.206933105755935,1.3992524485202509,4.172350089448185,39.48045651503617,12.109678016523349
0.1,0.01,12,49.69709284640259,49.32757946401875,98.21714209998781,3,0.33920206933563346,8,11.699407851356531,5.487998674413705,10.830346402175145,4.762850603956417,9.468340645627679,65.45209071165459,28.672479462019957
0.1,0.01,13,30.7221307760196,67.57853510399444,96.75727301419813,0,0.0,9,26.591024525083018,4.969139166289217,15.32669539216728,7.731703546629743,11.16042342704361,71.66561034548275,44.495005760276115
0.1,0.01,17,24.24500520188063,61.8325664609224,95.97708555427762,0,0.0,9,25.87487752158855,4.92730699,12.909715254904924,6.9585261407983285,9.185567445872328,66.58967660409846,43.57338377332803
0.25,0.01,5,20.24779834741691,38.525147484351116,96.13181095986128,3,1.2848770793922983,7,13.041492891399795,7.107411635855863,11.561494407890802,6.024516603097165,7.554044249889417,55.08712087512069,35.41746021993941
0.0,0.01,13,31.871489983112255,55.49851415794643,95.84886902797464,1,0.9103035899999998,9,26.591024525083018,6.82060718,15.32669539216728,7.6034301924204915,11.16042342704361,70.5510234534581,44.495005760276115
